zpid,address,zipcode,city,state,latitude,longitude,price,price_per_sqft,price_change,zestimate,rent_zestimate,bedrooms,bathrooms,sqft,year_built,lot_size_acres,property_type,days_on_market,tax_assessed,tax_year,listing_url,photo_url,fetched_at,listing_type
2084200878,3303 Southern Oaks Blvd APT 11305,75216,Dallas,TX,32.71707,-96.77432,1500.0,2.0,,,1375.0,2,2.0,950.0,,,apartment,75,,,https://www.zillow.com,https://photos.zillowstatic.com/fp/92be215487b25608c93e777aee45b73b-p_c.jpg,2026-08-10 09:16,For Rent
459232307,3550 E Overton Rd #9f1be2131,75216,Dallas,TX,32.721416,-96.76802,1120.0,,,,1180.0,2,1.0,,,,apartment,75,,,https://www.zillow.com,https://photos.zillowstatic.com/fp/5d26aacc7a0eb0351bcd12ba1decf765-p_c.jpg,2026-08-10 09:16,For Rent
464372881,1300 S Ervay St #B55749385,75215,Dallas,TX,32.77314,-96.7909,1815.0,4.0,,,,0,1.0,502.0,,,apartment,3,,,https://www.zillow.com,https://photos.zillowstatic.com/fp/08d5c1f1d2c181f753d9916a40231c9b-p_c.jpg,2026-08-10 09:16,For Rent
442730324,5313 Reiger Ave #104,75214,Dallas,TX,32.800114,-96.76066,1795.0,2.0,-100.0,,1546.0,1,1.0,872.0,1925.0,,apartment,30,,,https://www.zillow.com,https://photos.zillowstatic.com/fp/ce8edb0e78a97ab9d1fef95c212be09f-p_c.jpg,2026-08-10 09:16,For Rent
448288376,1001 N Crawford St #202,75203,Dallas,TX,32.755077,-96.82207,999.0,3.0,,,1057.0,0,1.0,376.0,,,apartment,9,,,https://www.zillow.com,https://photos.zillowstatic.com/fp/6a7193cba5c30b00c932ab5827c88306-p_c.jpg,2026-08-10 09:16,For Rent
461305949,1519 Annex Ave #4cf790fe0,75204,Dallas,TX,32.80231,-96.77771,1150.0,2.0,,,1542.0,1,1.0,547.0,,,apartment,136,,,https://www.zillow.com,https://photos.zillowstatic.com/fp/77ce9ee1c9cde1b056783bc5ed39f267-p_c.jpg,2026-08-10 09:16,For Rent
464349741,1025 W Wheatland Rd #179724946,75232,Dallas,TX,32.64846,-96.838455,1050.0,,,,,1,1.0,,,,apartment,4,,,https://www.zillow.com,https://photos.zillowstatic.com/fp/be1d2535dc853c05a4ce3d5d48e08be1-p_c.jpg,2026-08-10 09:16,For Rent
402740699,11363 Amanda Ln APT 345,75238,Dallas,TX,32.877182,-96.68832,795.0,2.0,120.0,,916.0,1,1.0,503.0,,,apartment,146,,,https://www.zillow.com,https://photos.zillowstatic.com/fp/6cc00f123fffd2af1d1ce2d28131e6d5-p_c.jpg,2026-08-10 09:16,For Rent
463300952,4125 Holland Ave #Fb628e645,75219,Dallas,TX,32.81684,-96.80812,2850.0,2.0,100.0,,2263.0,2,2.0,1300.0,,,apartment,53,,,https://www.zillow.com,https://photos.zillowstatic.com/fp/c2e33a352da200dd74dc954dce963ffc-p_c.jpg,2026-08-10 09:16,For Rent
450862457,12270 Greenville Ave #6016,75243,Dallas,TX,32.91509,-96.74352,1725.0,6.0,-42.0,,929.0,0,1.0,300.0,,,apartment,459,,,https://www.zillow.com,https://photos.zillowstatic.com/fp/c9b6e3b65c921d35266a706b9918ab29-p_c.jpg,2026-08-10 09:16,For Rent
450862632,12121 Coit Rd #9708,75251,Dallas,TX,32.914177,-96.769905,1739.0,6.0,-205.0,,1565.0,0,1.0,270.0,,,apartment,459,,,https://www.zillow.com,https://photos.zillowstatic.com/fp/8e5c762ed75f3b8531da9ac738c3635c-p_c.jpg,2026-08-10 09:16,For Rent
